Time,<RSRP>,<RSRQ>,<SINR>,Cluster
23:50:55,-55,-11,34,1
23:50:56,-55,-11,33,1
23:50:57,-56,-11,33,1
23:50:58,-56,-11,33,1
23:50:59,-56,-11,33,1
23:51:00,-56,-11,33,1
23:51:01,-56,-11,33,1
23:51:02,-56,-11,33,1
23:51:03,-56,-11,33,1
23:51:04,-56,-11,33,1
23:51:05,-56,-11,33,1
23:51:06,-55,-11,35,1
23:51:07,-56,-11,33,1
23:51:08,-56,-11,33,1
23:51:09,-55,-11,33,1
23:51:10,-57,-11,33,1
23:51:11,-56,-11,33,1
23:51:12,-56,-11,33,1
23:51:13,-56,-11,33,1
23:51:14,-56,-11,33,1
23:51:15,-56,-11,33,1
23:51:16,-56,-11,33,1
23:51:17,-56,-11,33,1
23:51:18,-56,-11,33,1
23:51:19,-56,-11,33,1
23:51:20,-56,-11,34,1
23:51:21,-56,-11,34,1
23:51:22,-56,-11,34,1
23:51:23,-56,-11,33,1
23:51:24,-56,-11,33,1
23:51:25,-56,-11,33,1
23:51:26,-56,-11,33,1
23:51:27,-56,-11,33,1
23:51:28,-56,-11,33,1
23:51:29,-56,-11,33,1
23:51:30,-56,-11,35,1
23:51:31,-57,-11,35,1
23:51:32,-56,-11,34,1
23:51:33,-56,-11,33,1
23:51:34,-56,-11,33,1
23:51:35,-56,-11,33,1
23:51:36,-56,-11,33,1
23:51:37,-56,-11,33,1
23:51:38,-56,-11,33,1
23:51:39,-56,-11,33,1
23:51:40,-56,-11,33,1
23:51:41,-56,-11,33,1
23:51:42,-56,-11,33,1
23:51:43,-56,-11,33,1
23:51:44,-56,-11,33,1
23:51:45,-56,-11,33,1
23:51:46,-56,-11,33,1
23:51:47,-56,-11,35,1
23:51:48,-56,-11,33,1
23:51:49,-56,-11,33,1
23:51:50,-56,-11,33,1
23:51:51,-56,-11,33,1
23:51:52,-56,-11,34,1
23:51:53,-56,-11,34,1
23:51:54,-57,-11,33,1
23:51:55,-56,-11,33,1
23:51:56,-56,-11,33,1
23:51:57,-56,-11,33,1
23:51:58,-56,-11,33,1
23:51:59,-56,-11,33,1
23:52:00,-56,-11,33,1
23:52:01,-56,-11,33,1
23:52:02,-56,-11,33,1
23:52:03,-56,-11,33,1
23:52:04,-56,-11,33,1
23:52:05,-56,-11,33,1
23:52:06,-56,-11,34,1
23:52:07,-56,-11,33,1
23:52:08,-56,-11,33,1
23:52:09,-56,-11,33,1
23:52:10,-56,-11,33,1
23:52:11,-56,-11,33,1
23:52:12,-57,-11,33,1
23:52:13,-56,-11,33,1
23:52:14,-56,-11,33,1
23:52:15,-56,-11,33,1
23:52:16,-56,-11,33,1
23:52:17,-56,-11,33,1
23:52:18,-56,-11,33,1
23:52:19,-56,-11,33,1
23:52:20,-56,-11,33,1
23:52:21,-57,-11,33,1
23:52:22,-57,-11,33,1
23:52:23,-56,-11,33,1
23:52:24,-56,-11,34,1
23:52:25,-56,-11,34,1
23:52:26,-57,-11,33,1
23:52:27,-57,-11,33,1
23:52:28,-56,-11,34,1
23:52:29,-57,-11,34,1
23:52:30,-57,-11,33,1
23:52:31,-56,-11,33,1
23:52:32,-56,-11,33,1
23:52:33,-56,-11,33,1
23:52:34,-56,-11,34,1
23:52:35,-56,-11,33,1
23:52:36,-56,-11,33,1
23:52:37,-56,-11,33,1
23:52:38,-56,-11,33,1
23:52:39,-57,-11,34,1
23:52:40,-57,-11,34,1
23:52:41,-56,-11,34,1
23:52:42,-56,-11,34,1
23:52:43,-57,-11,33,1
23:52:44,-56,-11,33,1
23:52:45,-57,-11,33,1
23:52:46,-56,-11,33,1
23:52:47,-56,-11,33,1
23:52:48,-57,-11,33,1
23:52:49,-56,-11,33,1
23:52:50,-56,-11,33,1
23:52:51,-56,-11,33,1
23:52:52,-57,-11,33,1
23:52:53,-56,-11,33,1
23:52:54,-56,-11,34,1
23:52:55,-56,-11,35,1
23:52:56,-56,-11,35,1
23:52:57,-56,-11,33,1
23:52:58,-57,-11,33,1
23:52:59,-56,-11,33,1
23:53:00,-56,-11,33,1
23:53:01,-56,-11,33,1
23:53:02,-56,-11,33,1
23:53:03,-56,-11,33,1
23:53:04,-56,-11,33,1
23:53:05,-56,-11,33,1
23:53:06,-56,-11,33,1
23:53:07,-56,-11,33,1
23:53:08,-56,-11,33,1
23:53:09,-55,-11,33,1
23:53:10,-56,-11,33,1
23:53:11,-56,-11,33,1
23:53:12,-56,-11,34,1
23:53:13,-56,-11,34,1
23:53:14,-56,-11,33,1
23:53:15,-56,-11,33,1
23:53:16,-56,-11,33,1
23:53:17,-56,-11,34,1
23:53:18,-56,-11,34,1
23:53:19,-56,-11,33,1
23:53:20,-56,-11,33,1
23:53:21,-56,-11,34,1
23:53:22,-56,-11,34,1
23:53:23,-56,-11,34,1
23:53:24,-56,-11,33,1
23:53:25,-56,-11,33,1
23:53:26,-56,-11,34,1
23:53:27,-56,-11,33,1
23:53:28,-57,-11,33,1
23:53:29,-57,-11,33,1
23:53:30,-56,-11,33,1
23:53:31,-56,-11,34,1
23:53:32,-56,-11,34,1
23:53:33,-56,-11,33,1
23:53:34,-56,-11,33,1
23:53:35,-56,-11,33,1
23:53:36,-56,-11,33,1
23:53:37,-56,-11,34,1
23:53:38,-56,-11,34,1
23:53:39,-56,-11,33,1
23:53:40,-56,-11,33,1
23:53:41,-57,-11,33,1
23:53:42,-56,-11,33,1
23:53:43,-56,-11,33,1
23:53:44,-56,-11,33,1
23:53:45,-56,-11,33,1
23:53:46,-56,-11,33,1
23:53:47,-56,-11,33,1
23:53:48,-56,-11,33,1
23:53:49,-56,-11,33,1
23:53:50,-56,-11,33,1
23:53:51,-57,-11,33,1
23:53:52,-56,-11,33,1
23:53:53,-56,-11,33,1
23:53:54,-56,-11,33,1
23:53:55,-56,-11,33,1
23:53:56,-57,-11,33,1
23:53:57,-56,-11,33,1
23:53:58,-56,-11,33,1
23:53:59,-56,-11,33,1
23:54:00,-57,-11,33,1
23:54:01,-56,-11,33,1
23:54:02,-56,-11,33,1
23:54:03,-56,-11,33,1
23:54:04,-57,-11,33,1
23:54:05,-56,-11,33,1
23:54:06,-57,-11,33,1
23:54:07,-57,-11,33,1
23:54:08,-55,-11,34,1
23:54:09,-57,-11,34,1
23:54:10,-59,-11,34,1
23:54:11,-58,-11,34,1
23:54:12,-58,-11,34,1
23:54:13,-58,-11,33,1
23:54:14,-57,-11,33,1
23:54:15,-58,-11,33,1
23:54:16,-57,-11,33,1
23:54:17,-56,-11,33,1
23:54:18,-57,-11,33,1
23:54:19,-62,-11,33,1
23:54:20,-63,-11,34,1
23:54:21,-57,-11,32,1
23:54:22,-56,-11,33,1
23:54:23,-60,-11,33,1
23:54:24,-61,-11,32,1
23:54:25,-66,-11,32,1
23:54:26,-66,-11,32,1
23:54:27,-64,-11,32,1
23:54:28,-62,-11,31,1
23:54:29,-62,-11,32,1
23:54:30,-64,-11,32,1
23:54:31,-64,-11,32,1
23:54:32,-62,-11,32,1
23:54:33,-65,-11,32,1
23:54:34,-64,-11,32,1
23:54:35,-64,-11,31,1
23:54:36,-64,-11,32,1
23:54:37,-63,-11,31,1
23:54:38,-68,-11,31,1
23:54:39,-68,-11,31,1
23:54:40,-71,-11,31,1
23:54:41,-68,-11,31,1
23:54:42,-66,-11,31,1
23:54:43,-65,-11,32,1
23:54:44,-63,-11,32,1
23:54:45,-57,-11,31,1
23:54:46,-61,-11,31,1
23:54:47,-61,-11,31,1
23:54:48,-62,-11,32,1
23:54:49,-60,-11,33,1
23:54:50,-67,-11,33,1
23:54:51,-62,-11,31,1
23:54:52,-64,-11,31,1
23:54:53,-64,-11,31,1
23:54:54,-65,-11,31,1
23:54:55,-62,-11,32,1
23:54:56,-62,-11,33,1
23:54:57,-63,-11,33,1
23:54:58,-62,-11,33,1
23:54:59,-63,-11,33,1
23:55:00,-62,-11,32,1
23:55:01,-64,-11,32,1
23:55:02,-62,-11,32,1
23:55:03,-64,-11,32,1
23:55:04,-65,-11,32,1
23:55:05,-64,-11,32,1
23:55:06,-64,-11,32,1
23:55:07,-64,-11,32,1
23:55:08,-66,-11,32,1
23:55:09,-64,-11,32,1
23:55:10,-64,-11,32,1
23:55:11,-64,-11,32,1
23:55:12,-62,-11,32,1
23:55:13,-63,-11,32,1
23:55:14,-64,-11,32,1
23:55:15,-64,-11,32,1
23:55:16,-63,-11,32,1
23:55:17,-63,-11,32,1
23:55:18,-64,-11,32,1
23:55:19,-64,-11,32,1
23:55:20,-64,-11,32,1
23:55:21,-63,-11,32,1
23:55:22,-63,-11,32,1
23:55:23,-63,-11,32,1
23:55:24,-62,-11,32,1
23:55:25,-62,-11,32,1
23:55:26,-62,-11,33,1
23:55:27,-64,-11,33,1
23:55:28,-65,-11,32,1
23:55:29,-64,-11,32,1
23:55:30,-64,-11,32,1
23:55:31,-64,-11,32,1
23:55:32,-64,-11,32,1
23:55:33,-63,-11,32,1
23:55:34,-63,-11,32,1
23:55:35,-63,-11,32,1
23:55:36,-64,-11,32,1
23:55:37,-64,-11,32,1
23:55:38,-65,-11,32,1
23:55:39,-63,-11,32,1
23:55:40,-64,-11,32,1
23:55:41,-65,-11,32,1
23:55:42,-62,-11,32,1
23:55:43,-61,-11,32,1
23:55:44,-62,-11,33,1
23:55:45,-62,-11,33,1
23:55:46,-63,-11,33,1
23:55:47,-63,-11,33,1
23:55:48,-63,-11,33,1
23:55:49,-63,-11,33,1
23:55:50,-62,-11,33,1
23:55:51,-64,-11,33,1
23:55:52,-63,-11,33,1
23:55:53,-65,-11,32,1
23:55:54,-63,-11,32,1
23:55:55,-65,-11,32,1
23:55:56,-64,-11,32,1
23:55:57,-63,-11,32,1
23:55:58,-62,-11,33,1
23:55:59,-63,-11,33,1
23:56:00,-63,-11,33,1
23:56:01,-63,-11,32,1
23:56:02,-63,-11,32,1
23:56:03,-63,-11,32,1
23:56:04,-62,-11,33,1
23:56:05,-61,-11,33,1
23:56:06,-62,-11,33,1
23:56:07,-61,-11,33,1
23:56:08,-61,-11,33,1
23:56:09,-62,-11,33,1
23:56:10,-62,-11,33,1
23:56:11,-62,-11,33,1
23:56:12,-62,-11,33,1
23:56:13,-61,-11,33,1
23:56:14,-62,-11,33,1
23:56:15,-63,-11,33,1
23:56:16,-63,-11,33,1
23:56:17,-64,-11,33,1
23:56:18,-62,-11,33,1
23:56:19,-62,-11,33,1
23:56:20,-61,-11,32,1
23:56:21,-62,-11,32,1
23:56:22,-61,-11,33,1
23:56:23,-63,-11,33,1
23:56:24,-62,-11,32,1
23:56:25,-63,-11,33,1
23:56:26,-63,-11,32,1
23:56:27,-63,-11,32,1
23:56:28,-63,-11,32,1
23:56:29,-63,-11,32,1
23:56:30,-63,-11,32,1
23:56:31,-65,-11,32,1
23:56:32,-64,-11,32,1
23:56:33,-63,-11,32,1
23:56:34,-65,-11,32,1
23:56:35,-63,-11,32,1
23:56:36,-64,-11,32,1
23:56:37,-64,-11,32,1
23:56:38,-64,-11,32,1
23:56:39,-64,-11,32,1
23:56:40,-63,-11,32,1
23:56:41,-64,-11,32,1
23:56:42,-65,-11,32,1
23:56:43,-65,-11,32,1
23:56:44,-63,-11,32,1
23:56:45,-63,-11,32,1
23:56:46,-66,-11,32,1
23:56:47,-64,-11,32,1
23:56:48,-64,-11,32,1
23:56:49,-62,-11,33,1
23:56:50,-63,-11,33,1
23:56:51,-62,-11,33,1
23:56:52,-62,-11,33,1
23:56:53,-63,-11,33,1
23:56:54,-63,-11,33,1
23:56:55,-61,-11,33,1
23:56:56,-63,-11,33,1
23:56:57,-63,-11,33,1
23:56:58,-61,-11,32,1
23:56:59,-62,-11,32,1
23:57:00,-63,-11,33,1
23:57:01,-63,-11,33,1
23:57:02,-64,-11,32,1
23:57:03,-63,-11,32,1
23:57:04,-65,-11,32,1
23:57:05,-63,-11,32,1
23:57:06,-63,-11,32,1
23:57:07,-65,-11,33,1
23:57:08,-64,-11,33,1
23:57:09,-65,-11,32,1
23:57:10,-66,-11,31,1
23:57:11,-66,-11,31,1
23:57:12,-68,-11,31,1
23:57:13,-64,-11,31,1
23:57:14,-68,-11,31,1
23:57:15,-66,-11,31,1
23:57:16,-67,-11,32,1
23:57:17,-67,-11,31,1
23:57:18,-70,-11,31,1
23:57:19,-69,-11,31,1
23:57:20,-65,-11,30,1
23:57:21,-67,-11,30,1
23:57:22,-68,-11,32,1
23:57:23,-68,-11,32,1
23:57:24,-66,-11,32,1
23:57:25,-66,-11,32,1
23:57:26,-65,-11,32,1
23:57:27,-67,-11,31,1
23:57:28,-68,-11,31,1
23:57:29,-65,-11,31,1
23:57:30,-66,-11,31,1
23:57:31,-66,-11,31,1
23:57:32,-65,-11,31,1
23:57:33,-66,-11,31,1
23:57:34,-65,-11,32,1
23:57:35,-66,-11,32,1
23:57:36,-67,-11,31,1
23:57:37,-68,-11,32,1
23:57:38,-69,-11,31,1
23:57:39,-69,-11,31,1
23:57:40,-69,-11,31,1
23:57:41,-68,-11,32,1
23:57:42,-71,-11,32,1
23:57:43,-65,-11,31,1
23:57:44,-68,-11,32,1
23:57:45,-67,-11,31,1
23:57:46,-70,-11,31,1
23:57:47,-65,-11,31,1
23:57:48,-70,-11,31,1
23:57:49,-65,-11,31,1
23:57:50,-67,-11,31,1
23:57:51,-68,-11,31,1
23:57:52,-66,-11,33,1
23:57:53,-67,-11,31,1
23:57:54,-67,-11,31,1
23:57:55,-68,-11,31,1
23:57:56,-67,-11,31,1
23:57:57,-66,-11,31,1
23:57:58,-67,-11,32,1
23:57:59,-67,-11,32,1
23:58:00,-66,-11,32,1
23:58:01,-65,-11,31,1
23:58:02,-67,-11,31,1
23:58:03,-66,-11,31,1
23:58:04,-67,-11,31,1
23:58:05,-68,-11,31,1
23:58:06,-66,-11,31,1
23:58:07,-69,-11,31,1
23:58:08,-69,-11,31,1
23:58:09,-65,-11,31,1
23:58:10,-66,-11,31,1
23:58:11,-66,-11,31,1
23:58:12,-71,-11,31,1
23:58:13,-65,-11,31,1
23:58:14,-67,-11,31,1
23:58:15,-68,-11,31,1
23:58:16,-67,-11,31,1
23:58:17,-70,-11,31,1
23:58:18,-68,-11,31,1
23:58:19,-67,-11,32,1
23:58:20,-68,-11,31,1
23:58:21,-68,-11,31,1
23:58:22,-66,-11,31,1
23:58:23,-65,-11,31,1
23:58:24,-67,-11,31,1
23:58:25,-68,-11,32,1
23:58:26,-68,-11,32,1
23:58:27,-65,-11,31,1
23:58:28,-69,-11,31,1
23:58:29,-69,-11,31,1
23:58:30,-69,-11,31,1
23:58:31,-66,-11,31,1
23:58:32,-69,-11,31,1
23:58:33,-65,-11,31,1
23:58:34,-66,-11,32,1
23:58:35,-66,-11,32,1
23:58:36,-67,-11,32,1
23:58:37,-68,-11,31,1
23:58:38,-69,-11,31,1
23:58:39,-68,-11,31,1
23:58:40,-67,-11,31,1
23:58:41,-67,-11,31,1
23:58:42,-68,-11,31,1
23:58:43,-67,-11,31,1
23:58:44,-68,-11,31,1
23:58:45,-67,-11,32,1
23:58:46,-67,-11,31,1
23:58:47,-69,-11,32,1
23:58:48,-68,-11,32,1
23:58:49,-65,-11,32,1
23:58:50,-65,-11,32,1
23:58:51,-69,-11,32,1
23:58:52,-66,-11,31,1
23:58:53,-68,-11,31,1
23:58:54,-66,-11,32,1
23:58:55,-69,-11,32,1
23:58:56,-67,-11,31,1
23:58:57,-68,-11,31,1
23:58:58,-68,-11,32,1
23:58:59,-67,-11,32,1
23:59:00,-69,-11,32,1
23:59:01,-65,-11,31,1
23:59:02,-67,-11,31,1
23:59:03,-67,-11,31,1
23:59:04,-70,-11,31,1
23:59:05,-64,-11,30,1
23:59:06,-68,-11,31,1
23:59:07,-65,-11,31,1
23:59:08,-65,-11,31,1
23:59:09,-65,-11,31,1
23:59:10,-65,-11,31,1
23:59:11,-69,-11,31,1
23:59:12,-67,-11,30,1
23:59:13,-65,-11,31,1
23:59:14,-66,-11,32,1
23:59:15,-66,-11,32,1
23:59:16,-69,-11,32,1
23:59:17,-69,-11,32,1
23:59:18,-66,-11,32,1
23:59:19,-66,-11,32,1
23:59:20,-68,-11,32,1
23:59:21,-64,-11,31,1
23:59:22,-67,-11,31,1
23:59:23,-71,-11,31,1
23:59:24,-67,-11,31,1
23:59:25,-72,-11,31,1
23:59:26,-70,-11,31,1
23:59:27,-66,-11,31,1
23:59:28,-69,-11,31,1
23:59:29,-68,-11,31,1
23:59:30,-66,-11,30,1
23:59:31,-66,-11,30,1
23:59:32,-67,-11,31,1
23:59:33,-65,-11,31,1
23:59:34,-66,-11,31,1
23:59:35,-66,-11,31,1
23:59:36,-68,-11,31,1
23:59:37,-67,-11,31,1
23:59:38,-68,-11,31,1
23:59:39,-68,-11,31,1
23:59:40,-65,-11,32,1
23:59:41,-67,-11,32,1
23:59:42,-67,-11,32,1
23:59:43,-71,-11,32,1
23:59:44,-71,-11,32,1
23:59:45,-68,-11,32,1
23:59:46,-66,-11,30,1
23:59:47,-65,-11,30,1
23:59:48,-65,-11,31,1
23:59:49,-68,-11,31,1
23:59:50,-69,-11,31,1
23:59:51,-64,-11,31,1
23:59:52,-67,-11,31,1
23:59:53,-72,-11,31,1
23:59:54,-81,-11,31,0
23:59:55,-78,-11,23,0
23:59:56,-79,-11,23,0
23:59:57,-82,-11,24,0
23:59:58,-82,-11,24,0
23:59:59,-82,-11,23,0
0:00:00,-83,-11,24,0
0:00:01,-81,-11,24,0
0:00:02,-82,-11,26,0
0:00:03,-80,-11,26,0
0:00:04,-81,-11,25,0
0:00:05,-82,-11,26,0
0:00:06,-83,-11,25,0
0:00:07,-82,-11,25,0
0:00:08,-82,-11,26,0
0:00:09,-81,-11,26,0
0:00:10,-81,-11,26,0
0:00:11,-82,-11,26,0
0:00:12,-81,-11,26,0
0:00:13,-81,-11,26,0
0:00:14,-80,-11,26,0
0:00:15,-82,-11,27,0
0:00:16,-82,-11,27,0
0:00:17,-82,-11,26,0
0:00:18,-80,-11,26,0
0:00:19,-79,-11,28,0
0:00:20,-80,-11,28,0
0:00:21,-80,-11,27,0
0:00:22,-80,-11,27,0
0:00:23,-78,-11,27,0
0:00:24,-80,-11,26,0
0:00:25,-79,-11,27,0
0:00:26,-79,-11,27,0
0:00:27,-79,-11,27,0
0:00:28,-80,-11,27,0
0:00:29,-79,-11,26,0
0:00:30,-82,-11,26,0
0:00:31,-82,-11,26,0
0:00:32,-86,-11,26,0
0:00:33,-85,-11,24,0
0:00:34,-84,-11,25,0
0:00:35,-83,-11,25,0
0:00:36,-85,-11,25,0
0:00:37,-83,-11,26,0
0:00:38,-84,-11,26,0
0:00:39,-81,-11,26,0
0:00:40,-83,-11,27,0
0:00:41,-83,-11,27,0
0:00:42,-82,-11,27,0
0:00:43,-83,-11,27,0
0:00:44,-83,-11,27,0
0:00:45,-83,-11,27,0
0:00:46,-83,-11,26,0
0:00:47,-81,-11,26,0
0:00:48,-89,-11,26,0
0:00:49,-84,-11,25,0
0:00:50,-67,-11,25,0
0:00:51,-66,-11,25,0
0:00:52,-68,-11,30,1
0:00:53,-67,-11,31,1
0:00:54,-67,-11,31,1
0:00:55,-67,-11,31,1
0:00:56,-65,-11,32,1
0:00:57,-68,-11,32,1
0:00:58,-64,-11,32,1
0:00:59,-69,-11,31,1
0:01:00,-66,-11,31,1
0:01:01,-63,-11,31,1
0:01:02,-64,-11,31,1
0:01:03,-65,-11,31,1
0:01:04,-67,-11,32,1
0:01:05,-68,-11,32,1
0:01:06,-68,-11,31,1
0:01:07,-67,-11,31,1
0:01:08,-67,-11,31,1
0:01:09,-67,-11,32,1
0:01:10,-65,-11,32,1
0:01:11,-69,-11,32,1
0:01:12,-69,-11,32,1
0:01:13,-68,-11,30,1
0:01:14,-65,-11,30,1
0:01:15,-65,-11,30,1
0:01:16,-67,-11,31,1
0:01:17,-68,-11,31,1
0:01:18,-69,-11,31,1
0:01:19,-68,-11,30,1
0:01:20,-71,-11,30,1
0:01:21,-65,-11,30,1
0:01:22,-65,-11,30,1
0:01:23,-64,-11,31,1
0:01:24,-66,-11,31,1
0:01:25,-64,-11,32,1
0:01:26,-65,-11,31,1
0:01:27,-69,-11,31,1
0:01:28,-66,-11,31,1
0:01:29,-65,-11,31,1
0:01:30,-67,-11,31,1
0:01:31,-67,-11,32,1
0:01:32,-68,-11,32,1
0:01:33,-66,-11,31,1
0:01:34,-68,-11,31,1
0:01:35,-66,-11,31,1
0:01:36,-66,-11,31,1
0:01:37,-68,-11,31,1
0:01:38,-64,-11,32,1
0:01:39,-69,-11,32,1
0:01:40,-66,-11,31,1
0:01:41,-66,-11,31,1
0:01:42,-69,-11,32,1
0:01:43,-75,-11,32,1
0:01:44,-75,-11,30,1
0:01:45,-74,-11,30,1
0:01:46,-75,-11,31,1
0:01:47,-80,-11,31,0
0:01:48,-72,-11,30,1
0:01:49,-78,-11,30,0
0:01:50,-78,-11,30,0
0:01:51,-77,-12,30,2
0:01:52,-73,-11,31,1
0:01:53,-72,-11,30,1
0:01:54,-72,-11,30,1
0:01:55,-74,-11,30,1
0:01:56,-73,-11,30,1
0:01:57,-75,-11,30,1
0:01:58,-72,-11,32,1
0:01:59,-71,-11,32,1
0:02:00,-73,-11,31,1
0:02:28,-84,-11,22,0
0:02:29,-84,-11,22,0
0:02:30,-81,-11,22,0
0:02:31,-82,-11,22,0
0:02:32,-82,-11,22,0
0:02:33,-79,-11,22,0
0:02:34,-81,-11,22,0
0:02:35,-81,-11,22,0
0:02:36,-77,-11,22,0
0:02:37,-83,-12,22,2
0:02:38,-82,-11,22,0
0:02:39,-82,-11,22,0
0:02:40,-84,-12,22,2
0:02:41,-79,-11,22,0
0:02:42,-79,-11,22,0
0:02:43,-76,-11,22,0
0:02:44,-83,-11,22,0
0:02:45,-81,-12,22,2
0:02:46,-79,-11,22,0
0:02:47,-80,-11,22,0
0:02:48,-80,-11,22,0
0:02:49,-80,-11,22,0
0:02:50,-81,-11,22,0
0:02:51,-80,-11,22,0
0:02:52,-81,-11,22,0
0:02:53,-81,-11,22,0
0:02:54,-80,-11,22,0
0:02:55,-80,-11,22,0
0:02:56,-80,-11,22,0
0:02:57,-83,-11,22,0
0:02:58,-82,-11,22,0
0:02:59,-82,-11,22,0
0:03:00,-82,-11,22,0
0:03:01,-80,-11,22,0
0:03:02,-80,-11,22,0
0:03:03,-77,-11,23,0
0:03:04,-80,-11,23,0
0:03:05,-82,-11,22,0
0:03:06,-75,-11,22,0
0:03:07,-75,-11,22,0
0:03:08,-79,-11,22,0
0:03:09,-79,-11,22,0
0:03:10,-77,-11,22,0
0:03:11,-74,-11,22,0
0:03:12,-78,-11,24,0
0:03:13,-79,-11,24,0
0:03:14,-77,-11,25,0
0:03:15,-84,-11,27,0
0:03:16,-84,-11,27,0
0:03:17,-80,-11,27,0
0:03:18,-79,-11,22,0
0:03:19,-79,-11,22,0
0:03:20,-79,-11,22,0
0:03:21,-80,-11,22,0
0:03:22,-75,-11,22,0
0:03:23,-75,-11,22,0
0:03:24,-77,-11,26,0
0:03:25,-74,-11,22,0
0:03:26,-78,-11,22,0
0:03:27,-80,-11,22,0
0:03:28,-77,-11,23,0
0:03:29,-77,-11,23,0
0:03:30,-79,-11,23,0
0:03:31,-79,-11,22,0
0:03:32,-77,-11,22,0
0:03:33,-79,-11,22,0
0:03:34,-77,-11,22,0
0:03:35,-77,-11,22,0
0:03:36,-80,-11,22,0
0:03:37,-80,-11,22,0
0:03:38,-80,-11,22,0
0:03:39,-76,-11,22,0
0:03:40,-78,-11,27,0
0:03:41,-75,-11,22,0
0:03:42,-81,-11,22,0
0:03:43,-81,-11,22,0
0:03:44,-79,-11,22,0
0:03:45,-78,-11,22,0
0:03:46,-77,-11,22,0
0:03:47,-79,-11,23,0
0:03:48,-80,-11,23,0
0:03:49,-80,-11,23,0
0:03:50,-80,-11,22,0
0:03:51,-78,-11,22,0
0:03:52,-78,-11,22,0
0:03:53,-79,-11,22,0
0:03:54,-75,-11,22,0
0:03:55,-75,-11,23,0
0:03:56,-85,-11,23,0
0:03:57,-85,-11,22,0
0:03:58,-81,-11,22,0
0:03:59,-83,-11,22,0
0:04:00,-83,-11,22,0
0:04:01,-75,-11,22,0
0:04:02,-74,-11,22,0
0:04:03,-74,-11,22,0
0:04:04,-74,-11,28,0
0:04:05,-77,-11,28,0
0:04:06,-75,-11,28,0
0:04:07,-79,-11,22,0
0:04:08,-80,-11,22,0
0:04:09,-80,-11,22,0
0:04:10,-80,-11,22,0
0:04:11,-79,-11,22,0
0:04:12,-78,-11,22,0
0:04:13,-81,-11,23,0
0:04:14,-79,-11,23,0
0:04:15,-86,-12,22,2
0:04:16,-86,-12,22,2
0:04:17,-80,-11,22,0
0:04:18,-80,-11,22,0
0:04:19,-78,-11,22,0
0:04:20,-81,-11,22,0
0:04:21,-80,-11,22,0
0:04:22,-85,-11,22,0
0:04:23,-80,-11,22,0
0:04:24,-80,-11,22,0
0:04:25,-80,-11,22,0
0:04:26,-76,-11,22,0
0:04:27,-78,-11,22,0
0:04:28,-78,-11,23,0
0:04:29,-83,-11,22,0
0:04:30,-83,-11,22,0
0:04:31,-83,-11,22,0
0:04:32,-86,-12,22,2
